"","logFC","logCPM","F","PValue","FDR","GeneSymbol"
"YJL116C",3.94111055237163,5.83470384190859,145.672708919884,8.22257696538643e-09,5.94588422639892e-07,"NCA3"
"YMR015C",3.55997496983452,4.69659429892923,144.538162588508,8.65365602847849e-09,6.12131772179114e-07,"ERG5"
"YJL034W",-2.24471643825138,6.41230255083062,144.334577375414,8.72385045135486e-09,6.12131772179114e-07,"KAR2"
"YLR216C",-2.71703234628243,3.57012914095742,144.163228112703,8.80449904968808e-09,6.12131772179114e-07,"CPR6"
"YPL240C",-3.90840669234905,8.201558451371,143.875276147553,8.9049341857953e-09,6.12131772179114e-07,"HSP82"
"YMR280C",-2.24769145563748,4.19202823090505,143.305068384113,9.13971528133176e-09,6.20608959590918e-07,"CAT8"
"YHL032C",-3.04803004723907,3.88757276798523,142.412580677468,9.52299798580827e-09,6.38844009457596e-07,"GUT1"
"YOR348C",2.76572349381349,4.9621620185364,141.942932571839,9.71917093947461e-09,6.44242187988031e-07,"PUT4"
"YMR186W",-2.50097479548637,7.38626907002295,140.560573079776,1.03472509806529e-08,6.77805805415006e-07,"HSC82"
"YPL271W",-2.62441056907794,6.31976863675717,140.227397630397,1.05065171369917e-08,6.80235900218253e-07,"ATP15"
"YOR020C",-2.22447589684575,4.60333037266092,139.828426707175,1.07037885253157e-08,6.85042465620204e-07,"HSP10"
"YDR174W",-2.28657930498608,3.61051932382399,139.130309422458,1.1059807993388e-08,6.99784214854371e-07,"HMO1"
"YCL020W",2.71832180200728,4.25650285205828,137.581463016535,1.18835549172719e-08,7.43456559318764e-07,NA
"YKR034W",2.6855920034163,4.06064122372003,136.70255935251,1.23852002891307e-08,7.66231057887555e-07,"DAL80"
"YMR303C",2.89571532499164,3.82508972413287,136.260714545763,1.26523867911943e-08,7.74159226960111e-07,"ADH2"
"YCR032W",2.71477315809985,2.9127413624529,135.958366404364,1.28647808386624e-08,7.77663610886612e-07,"BPH1"
"YOL086C",2.1975666721444,5.85347737688846,135.293764322646,1.32250707989787e-08,7.77663610886612e-07,"ADH1"
"YJR120W",-3.27110272611169,2.78551059960335,135.258598401015,1.33083641245917e-08,7.77663610886612e-07,NA
"YGR161W-A",2.76334795639807,4.42793495388482,135.028896039111,1.33998078244725e-08,7.77663610886612e-07,NA
"YER065C",-2.12677430717109,3.54634623762217,134.894878168502,1.34884694191489e-08,7.77663610886612e-07,"ICL1"
"YPL092W",-2.18784179738483,4.20424887562834,134.793098336936,1.35476598879313e-08,7.77663610886612e-07,"SSU1"
"YDR529C",-2.67654178629,6.53701497300485,134.425673341543,1.37812861421033e-08,7.83002053461545e-07,"QCR7"
"YDR432W",-2.69774608037561,3.62892945107129,134.063863843376,1.40375176481422e-08,7.8950402287733e-07,"NPL3"
"YOR047C",3.62306541026087,2.13241597637268,133.364546873236,1.50651231756946e-08,8.38826058422677e-07,"STD1"
"YCL018W",3.14806875777573,3.78275358157107,132.161247916309,1.53927143939213e-08,8.45028659325702e-07,"LEU2"
"YIL155C",-3.26450425961581,4.60856324167719,131.840768242857,1.5619305782038e-08,8.45028659325702e-07,"GUT2"
"YEL072W",7.88068741866387,1.3091750065223,174.186400126902,1.56318160758885e-08,8.45028659325702e-07,"RMD6"
