"","logFC","logCPM","F","PValue","FDR","GeneSymbol"
"YDR379C-A",3.73133922507188,3.1016941477166,114.933187293575,3.73941072948364e-08,1.73508657848041e-06,"SDH6"
"YBR201C-A",3.64309550862169,3.40196107188488,113.886274199548,3.960092297277e-08,1.82229701745771e-06,NA
"YLR439W",3.7448164132893,1.79501097852434,113.073604565667,4.16524577302892e-08,1.89779526300169e-06,"MRPL4"
"YIL075C",3.4907528932545,5.47128254331148,112.845708811658,4.19232789779467e-08,1.89779526300169e-06,"RPN2"
"YCL035C",3.71230867044261,4.76585938952405,112.56952514595,4.25793052932172e-08,1.91194816026317e-06,"GRX1"
"YOL159C",12.9234599226007,-0.532579456191406,104.641133739576,4.37920942803087e-08,1.95067504762207e-06,"CSS3"
"YHR146W",5.88837173411294,4.32743431643407,111.334072048877,4.56689066229269e-08,2.01813073076553e-06,"CRP1"
"YDR388W",3.35825737437926,3.53294942019037,110.852192792246,4.69311865807839e-08,2.05758147151027e-06,"RVS167"
"YDR529C",3.78600906811982,6.53701497300485,110.022685559502,4.91682526220217e-08,2.13877520902739e-06,"QCR7"
"YLR023C",-4.41016103100018,3.06297129767637,109.93711224608,4.95513652953544e-08,2.13877520902739e-06,"IZH3"
"YJR047C",4.64784766656631,0.975554196960582,110.361338472579,5.00967968365721e-08,2.14568434450795e-06,"ANB1"
"YPL095C",-4.24108102400738,4.44161922249065,109.481569955553,5.0809744750142e-08,2.15960808220451e-06,"EEB1"
"YJL172W",-4.64842979173048,5.11601078828094,106.793014808854,5.92936741734803e-08,2.50111498331771e-06,"CPS1"
"YCL064C",-5.12688917959596,2.3106458686746,106.660672930806,6.09264077876374e-08,2.55066344783132e-06,"CHA1"
"YHL034C",3.16225860391762,5.04702727101085,105.394547824724,6.43865084459554e-08,2.66546905705391e-06,"SBP1"
"YIL123W",3.65494817181254,1.75702952604039,105.513395393262,6.46261355427943e-08,2.66546905705391e-06,"SIM1"
"YGR157W",-5.30248993581836,4.23296322622768,105.071900379958,6.56853174697907e-08,2.68923417405731e-06,"CHO2"
"YBL015W",2.9767862171535,4.09869526041132,104.845724756169,6.65467438031647e-08,2.69010182104317e-06,"ACH1"
"YCR098C",-4.90412146486852,2.90713923014191,104.922076321819,6.66727822025786e-08,2.69010182104317e-06,"GIT1"
"YGR236C",5.19690471506863,4.0225039813721,104.521415681013,6.78650489111545e-08,2.70117145202217e-06,"SPG1"
"YKR039W",-3.67041250628674,6.65978428544787,104.342859203891,6.85454221375059e-08,2.70117145202217e-06,"GAP1"
"YDR055W",4.22784394964127,4.9184385729011,104.199762474191,6.91457589922827e-08,2.70117145202217e-06,"PST1"
"YDL007W",3.0748227587182,4.95801984768801,104.112169449285,6.95088578349157e-08,2.70117145202217e-06,"RPT2"
"YCR107W",-8.20128422380528,3.37409818343272,104.754460649812,6.97430108960827e-08,2.70117145202217e-06,"AAD3"
"YPR184W",3.80031523540668,5.0208003636254,104.029795616915,6.98578823798837e-08,2.70117145202217e-06,"GDB1"
"YMR303C",-4.63261299626749,3.82508972413287,102.958336106567,7.46038309644409e-08,2.86478710903453e-06,"ADH2"
"YFL056C",-4.57423923045326,5.13681695960241,102.742893621072,7.55423403007654e-08,2.88095719722371e-06,"AAD6"
"YMR296C",3.31010742009267,2.5263988973372,102.502467063194,7.67525288206975e-08,2.89239481837838e-06,"LCB1"
"YPL271W",3.51533852698629,6.31976863675717,102.442550985211,7.68811841091954e-08,2.89239481837838e-06,"ATP15"
"YBR067C",-3.76971003182818,2.89950145930818,102.184535635425,7.83248712844176e-08,2.92155517608478e-06,"TIP1"
"YBR230W-A",4.80884522870039,3.42273830250775,102.081789015471,7.87056890109045e-08,2.92155517608478e-06,NA
"YIL107C",3.437602177456,3.92118854566633,101.785329474419,8.00653438978593e-08,2.95234327697537e-06,"PFK26"
"YIR017C",3.91868195450236,2.05267289033756,100.1177292465,8.91572622862523e-08,3.26597129217008e-06,"MET28"
"YGL253W",-5.61308822376181,3.63934667180194,99.8761697937706,9.02655444785863e-08,3.28495785396581e-06,"HXK2"
"YML081C-A",3.45028634988851,5.57124369983513,99.3317891479132,9.31630526221687e-08,3.36838881168984e-06,"ATP18"
"YMR246W",-6.40273450047355,3.1770315146894,99.3365401769044,9.39034601659339e-08,3.37325462067045e-06,"FAA4"
"YPL111W",3.21204128003151,2.96891564739773,99.1347602390613,9.45734257940844e-08,3.37554381295809e-06,"CAR1"
"YFL014W",5.90788521598924,7.26833208716117,98.1255179118234,1.00499247305754e-07,3.5642026050856e-06,"HSP12"
"YBR214W",3.25019505430016,3.31694832830608,97.3955265635063,1.05350374068258e-07,3.71260052412698e-06,"SDS24"
"YIL065C",3.15181946636788,2.38002076362417,96.6898008599094,1.10396481113697e-07,3.84204111864514e-06,"FIS1"
"YHR138C",3.08719203856324,4.38912169882541,96.6382684046815,1.10507297558141e-07,3.84204111864514e-06,NA
"YNL142W",-5.28468014822378,6.2350063205286,96.5538172244687,1.11093502173467e-07,3.84204111864514e-06,"MEP2"
"YJL088W",4.23477692798439,1.51159110507596,96.5950016178807,1.12101466334195e-07,3.84878561317467e-06,"ARG3"
"YHL032C",3.83596394577554,3.88757276798523,96.3278587612454,1.12819540245922e-07,3.84878561317467e-06,"GUT1"
"YOR315W",5.60817229717924,0.323019772947289,97.2465855241751,1.13362219928277e-07,3.84878561317467e-06,"SFG1"
"YDL070W",4.57527624333342,5.41848444412261,95.7377592267124,1.1709077152239e-07,3.951281308101e-06,"BDF2"
"YNL007C",4.87755823475685,6.12482410126249,95.3558026172628,1.20009355328476e-07,4.0253740389696e-06,"SIS1"
"YPR035W",-4.07258017602312,5.44450858453388,95.2163987071817,1.21122243703922e-07,4.03837516732598e-06,"GLN1"
"YOR264W",3.82463633059466,1.25715957856196,95.2350814117067,1.23376106387747e-07,4.08903666885106e-06,"DSE3"
"YOR298C-A",3.25184324037873,6.3483202147533,94.5288926551404,1.2664794212208e-07,4.17263752506356e-06,"MBF1"
