"","logFC","logCPM","F","PValue","FDR","GeneSymbol"
"YMR002W",-1.66512095901086,4.52573550496709,87.9508592804627,1.97423201899989e-07,9.23741502671545e-06,"MIX17"
"YJR151C",2.44415892743635,3.24401598520135,86.729029148113,2.15315708308503e-07,9.99064886551455e-06,"DAN4"
"YDR074W",1.56629016015607,5.11823236479268,86.3711150202255,2.20536033554079e-07,1.01483027671827e-05,"TPS2"
"YML087C",-1.85264144978546,3.64560709693823,86.1544753971287,2.24083247997028e-07,1.02270124987496e-05,"AIM33"
"YJL159W",-2.50911449890728,5.01612878301783,85.799775785398,2.29685697270048e-07,1.0374093262411e-05,"HSP150"
"YGR125W",1.53000933873478,5.53229720449454,85.716723893937,2.31032249378405e-07,1.0374093262411e-05,NA
"YIL119C",2.54504304828,4.2949872507982,85.4016869603514,2.3640124030741e-07,1.05302568482533e-05,"RPI1"
"YOL165C",-3.20282064175837,0.924498522584064,86.018082825124,2.42956461477548e-07,1.06343370038723e-05,"AAD15"
"YJL116C",2.83755693008466,5.83470384190859,84.9648018088065,2.43824603771147e-07,1.06343370038723e-05,"NCA3"
"YBR068C",-2.13225583070205,2.96863413773508,84.9473710586504,2.44467517330398e-07,1.06343370038723e-05,"BAP2"
"YPL171C",-2.34659954569115,4.75278737352267,84.4312998251229,2.53351250768786e-07,1.09339089834153e-05,"OYE3"
"YOL086C",1.69862317891786,5.85347737688846,84.3241039580347,2.55281639339796e-07,1.09339089834153e-05,"ADH1"
"YER052C",-1.71775144885835,3.83073063014498,83.509221951454,2.70929148839362e-07,1.15155229063936e-05,"HOM3"
"YMR305C",-3.69243730455097,4.00511306778842,82.7914009831153,2.85777635035228e-07,1.2054620241486e-05,"SCW10"
"YJR094W-A",-2.12610047878924,3.01062653788364,82.6708644559076,2.88326548744094e-07,1.20706934090761e-05,"RPL43B"
"YOR375C",-1.76919788909634,5.21420743410928,82.3700520425251,2.94414166424243e-07,1.21513000028723e-05,"GDH1"
"YER103W",-2.45911741865521,6.25486077461472,82.3618118513521,2.94616648776538e-07,1.21513000028723e-05,"SSA4"
"YDL223C",1.82070890288417,5.53647625193741,81.720590162385,3.08879278795895e-07,1.26458810612908e-05,"HBT1"
"YPR204W",2.20027796518994,1.40602048160597,81.6214513040653,3.16076051044707e-07,1.28460689942841e-05,NA
"YPL250C",-2.42824322005429,1.97035768132236,80.8133931501593,3.32527503789347e-07,1.33682085349393e-05,"ATG41"
"YHL032C",-2.26009614870259,3.88757276798523,80.6167726303461,3.35697467164406e-07,1.33682085349393e-05,"GUT1"
"YHR140W",1.95089938605677,2.02165661486048,80.6576141636984,3.36125932990571e-07,1.33682085349393e-05,NA
"YFL068W",2.16617049153681,1.75106516575102,79.915459004226,3.59176256249031e-07,1.41836410978341e-05,NA
"YLR044C",2.00954365843766,5.93761490269383,79.0568151746879,3.77460655648205e-07,1.48007107792198e-05,"PDC1"
"YLL067C",2.01514351721454,3.49620531255412,78.8652443575122,3.83320811768713e-07,1.49253865729244e-05,NA
"YCR012W",2.06494129698994,8.057483884496,78.6421991441776,3.89620229110245e-07,1.4964979519763e-05,"PGK1"
"YLL066C",2.03526744280435,3.61781883792367,78.3784995186706,3.97837675220968e-07,1.4964979519763e-05,NA
"YHR029C",2.03948326826389,2.9314460752389,78.3851666270715,3.97958518239484e-07,1.4964979519763e-05,"YHI9"
"YLR157C-C",-3.87470710459057,9.83372168789282,78.2750165341051,4.00771129073704e-07,1.4964979519763e-05,NA
