"","logFC","logCPM","F","PValue","FDR","GeneSymbol"
"YER033C",-2.22761801309835,2.96399669193592,74.9415747190803,5.21278128831506e-07,2.28541466246758e-05,"ZRG8"
"YHR183W",1.64336124657998,5.09487866522717,74.506972141104,5.39105850069853e-07,2.34511044780386e-05,"GND1"
"YDR273W",-2.94801681510703,2.52072532561156,74.2393334492007,5.53661535423099e-07,2.38975769708203e-05,"DON1"
"YCR005C",2.55958149014038,3.05772990994442,74.0227478035935,5.62048821923687e-07,2.40453022721548e-05,"CIT2"
"YML116W",2.17519530928303,2.17012513683225,73.9724412204335,5.65721012509388e-07,2.40453022721548e-05,"ATR1"
"YLL046C",-2.76128749074405,0.995858198793088,72.8885285931022,5.88808303484202e-07,2.48370048015154e-05,"RNP1"
"YBR114W",-1.6375479529239,2.97490065817928,73.2961305264771,5.95043355300559e-07,2.49112887391994e-05,"RAD16"
"YOL159C",-7.36416086117303,-0.532579456191406,69.2558271612853,5.99567580729461e-07,2.49133752947883e-05,"CSS3"
"YJL217W",-5.76794400965221,-0.389515285939012,69.8077260488534,7.00123112641658e-07,2.88761888236204e-05,"REE1"
"YDL059C",-2.15662495168938,2.48969546430905,71.21234845098,7.10038758694253e-07,2.88836051008295e-05,"RAD59"
"YPR030W",-1.70446252947357,3.75475564974317,71.1269857637817,7.11352292682353e-07,2.88836051008295e-05,"CSR2"
"YMR118C",-1.92951017509432,2.78519971100598,71.0736144324883,7.15865212628318e-07,2.88836051008295e-05,"SHH3"
"YIL107C",-1.76250908405787,3.92118854566633,70.6438047733157,7.40658925853169e-07,2.96689848859744e-05,"PFK26"
"YMR173W",-1.62363141037223,6.64976358974439,70.509836419202,7.4878317091654e-07,2.97801763975949e-05,"DDR48"
"YGR244C",1.87766887297879,4.48598992544522,70.3038191295841,7.62062448532325e-07,3.0093359669702e-05,"LSC2"
"YHR180W",4.64690086106166,0.756810385626787,56.3661888190928,7.8474320525392e-07,3.07707758229143e-05,NA
"YIL077C",-1.57455292264125,2.18131889674485,69.8847336825633,7.91119327317559e-07,3.08038630384907e-05,NA
"YLR439W",-1.78066393615758,1.79501097852434,69.2635960894404,8.36118319015226e-07,3.23299083352554e-05,"MRPL4"
"Q0115",2.44654999760221,5.80496569030353,68.3973987527563,8.96663517607006e-07,3.42577388331255e-05,"BI3"
"YLR356W",-1.71647017421913,2.41286511078177,68.3965962794874,8.98281226586984e-07,3.42577388331255e-05,"ATG33"
"YDL079C",-1.96001136033765,3.1773722438559,68.2205483496413,9.11284634746767e-07,3.45172302467347e-05,"MRK1"
"YMR015C",2.37437594220596,4.69659429892923,67.8368094989103,9.41811790110204e-07,3.49397301930811e-05,"ERG5"
"YNCD0033W",-1.6392432145799,3.34394412615196,67.571720018404,9.64206928299875e-07,3.49397301930811e-05,NA
"YJL212C",2.49305876225453,3.69284912578783,67.8176461667241,9.65205560384055e-07,3.49397301930811e-05,"OPT1"
"YOR317W",-1.3554083593589,4.79832671568878,67.5394399693506,9.66017646219032e-07,3.49397301930811e-05,"FAA1"
"YOR285W",-1.66612223052544,4.60384441768727,67.51091856225,9.68517091219532e-07,3.49397301930811e-05,"RDL1"
